number,prob_DM,anomaly_score,anomaly_score_norm,combined_score
529,0.89,-11.30940909732839,1.4551915228366852e-10,0.4450000000727596
926,0.89,-11.309409097328391,1.3096723705530167e-10,0.4450000000654836
1091,0.89,-11.309409097328402,7.275957614183426e-11,0.4450000000363798
801,0.89,-11.30940909732841,1.4551915228366852e-11,0.44500000000727596
27,0.89,-11.309409097328414,0.0,0.445
251,0.89,-11.309409097328414,0.0,0.445
80,0.89,-11.309409097328414,0.0,0.445
582,0.89,-11.309409097328414,0.0,0.445
578,0.89,-11.309409097328414,0.0,0.445
512,0.89,-11.309409097328414,0.0,0.445
515,0.89,-11.309409097328414,0.0,0.445
100,0.89,-11.309409097328414,0.0,0.445
455,0.89,-11.309409097328414,0.0,0.445
460,0.89,-11.309409097328414,0.0,0.445
112,0.89,-11.309409097328414,0.0,0.445
487,0.89,-11.309409097328414,0.0,0.445
103,0.89,-11.309409097328414,0.0,0.445
980,0.89,-11.309409097328414,0.0,0.445
721,0.89,-11.309409097328414,0.0,0.445
933,0.89,-11.309409097328414,0.0,0.445
372,0.89,-11.309409097328414,0.0,0.445
370,0.89,-11.309409097328414,0.0,0.445
379,0.89,-11.309409097328414,0.0,0.445
385,0.89,-11.309409097328414,0.0,0.445
824,0.89,-11.309409097328414,0.0,0.445
855,0.89,-11.309409097328414,0.0,0.445
807,0.89,-11.309409097328414,0.0,0.445
148,0.89,-11.309409097328414,0.0,0.445
481,0.89,-11.309409097328414,0.0,0.445
198,0.89,-11.309409097328414,0.0,0.445
794,0.89,-11.309409097328414,0.0,0.445
461,0.89,-11.309409097328414,0.0,0.445
188,0.89,-11.309409097328414,0.0,0.445
814,0.89,-11.309409097328414,0.0,0.445
294,0.89,-11.309409097328414,0.0,0.445
1014,0.89,-11.309409097328414,0.0,0.445
333,0.89,-11.309409097328414,0.0,0.445
594,0.89,-11.309409097328414,0.0,0.445
7,0.89,-11.309409097328414,0.0,0.445
1034,0.89,-11.309409097328414,0.0,0.445
1061,0.89,-11.309409097328414,0.0,0.445
124,0.89,-11.309409097328414,0.0,0.445
232,0.89,-11.309409097328414,0.0,0.445
231,0.89,-11.309409097328414,0.0,0.445
238,0.89,-11.309409097328414,0.0,0.445
239,0.89,-11.309409097328414,0.0,0.445
399,0.89,-11.309409097328414,0.0,0.445
397,0.89,-11.309409097328414,0.0,0.445
391,0.89,-11.309409097328414,0.0,0.445
263,0.89,-11.309409097328414,0.0,0.445
740,0.89,-11.309409097328414,0.0,0.445
690,0.89,-11.309409097328414,0.0,0.445
1052,0.89,-11.309409097328414,0.0,0.445
34,0.89,-11.309409097328414,0.0,0.445
285,0.89,-11.309409097328414,0.0,0.445
649,0.89,-11.309409097328414,0.0,0.445
1029,0.89,-11.309409097328414,0.0,0.445
269,0.89,-11.309409097328414,0.0,0.445
840,0.89,-11.309409097328414,0.0,0.445
905,0.89,-11.309409097328414,0.0,0.445
1087,0.89,-11.309409097328414,0.0,0.445
1018,0.89,-11.309409097328414,0.0,0.445
686,0.89,-11.309409097328414,0.0,0.445
144,0.89,-11.309409097328414,0.0,0.445
671,0.89,-11.309409097328414,0.0,0.445
625,0.89,-11.309409097328414,0.0,0.445
1067,0.89,-11.309409097328414,0.0,0.445
731,0.89,-11.309409097328414,0.0,0.445
742,0.89,-11.309409097328414,0.0,0.445
542,0.89,-11.309409097328414,0.0,0.445
1071,0.89,-11.309409097328414,0.0,0.445
37,0.89,-11.309409097328414,0.0,0.445
321,0.89,-11.309409097328414,0.0,0.445
962,0.89,-11.309409097328414,0.0,0.445
549,0.87,-11.309406906740971,0.012848993006628007,0.441424496503314
670,0.87,-11.30940701065282,0.012239493211382069,0.44111974660569103
174,0.87,-11.309407081662249,0.011822984073660336,0.44091149203683017
888,0.88,-11.30940883854068,0.0015179315523710102,0.4407589657761855
47,0.83,-11.30940040412353,0.05099039945343975,0.44049519972671985
911,0.87,-11.309407238259029,0.010904458351433277,0.44045222917571664
480,0.88,-11.309409078963556,0.00010771994129754603,0.4400538599706488
138,0.88,-11.309409080446285,9.902291640173644e-05,0.44004951145820087
270,0.88,-11.3094090853521,7.02476390870288e-05,0.4400351238195435
538,0.88,-11.309409088543886,5.15260617248714e-05,0.44002576303086244
212,0.88,-11.309409093339056,2.3399770725518465e-05,0.44001169988536276
350,0.88,-11.309409095762174,9.186856914311647e-06,0.44000459342845716
445,0.88,-11.30940909643074,5.265348590910435e-06,0.44000263267429546
953,0.88,-11.309409096769285,3.2796087907627225e-06,0.4400016398043954
448,0.88,-11.309409097004002,1.9028520910069346e-06,0.4400009514260455
726,0.88,-11.309409097094822,1.3701501302421093e-06,0.4400006850750651
6,0.88,-11.309409097144217,1.0804214980453253e-06,0.440000540210749
184,0.88,-11.309409097252738,4.438770702108741e-07,0.4400002219385351
190,0.88,-11.30940909727284,3.2597745303064585e-07,0.4400001629887265
437,0.88,-11.30940909728681,2.440356183797121e-07,0.4400001220178092
121,0.88,-11.309409097322591,3.4153345040977e-08,0.4400000170766725
788,0.88,-11.309409097322606,3.40660335496068e-08,0.4400000170330168
653,0.88,-11.309409097325814,1.525040715932846e-08,0.4400000076252036
555,0.88,-11.309409097327514,5.282345227897167e-09,0.4400000026411726
401,0.88,-11.309409097328102,1.8335413187742233e-09,0.44000000091677066
1101,0.88,-11.309409097328343,4.220055416226387e-10,0.4400000002110028
78,0.88,-11.309409097328365,2.9103830456733704e-10,0.44000000014551915
56,0.88,-11.309409097328382,1.8917489796876907e-10,0.44000000009458745
737,0.88,-11.309409097328407,4.3655745685100555e-11,0.4400000000218279
663,0.88,-11.309409097328412,1.4551915228366852e-11,0.44000000000727596
634,0.88,-11.309409097328412,1.4551915228366852e-11,0.44000000000727596
258,0.88,-11.309409097328414,0.0,0.44
457,0.88,-11.309409097328414,0.0,0.44
13,0.88,-11.309409097328414,0.0,0.44
447,0.88,-11.309409097328414,0.0,0.44
748,0.88,-11.309409097328414,0.0,0.44
357,0.88,-11.309409097328414,0.0,0.44
982,0.88,-11.309409097328414,0.0,0.44
484,0.88,-11.309409097328414,0.0,0.44
58,0.88,-11.309409097328414,0.0,0.44
745,0.88,-11.309409097328414,0.0,0.44
1097,0.88,-11.309409097328414,0.0,0.44
