ANN_Position,Source_ID,ANN_E_peak,ANN_Beta,ANN_Sigma_det,ANN_Beta_Rel,ANN_Log_E_peak,ANN_Log_Beta,ANN_Log_Sigma_det,ANN_Log_Beta_Rel,ANN_Prob_Mean,ANN_Prob_Std,OCSVM_Anomaly_Rank,OCSVM_Prediction,OCSVM_Anomaly_Score,OCSVM_Log_E_peak,OCSVM_Log_Beta,OCSVM_Log_sigma_det,OCSVM_Log_beta_Rel
39,1062,31.769,0.347,9.5904,0.3757925072046109,1.50200354465664,-0.4596705252091263,0.9818367212655508,-0.4250518833949723,0.4721626949304778,0.0133031915710027,23.100988790592616,1,-0.15803867174460073,-0.5654310959658012,-1.2232988160115892,0.6175769194810008,0.3722098091209455
40,393,1.4804,0.5205,16.6765,0.2578290105667628,0.1703790764230741,-0.2835792661534451,1.2221049078014432,-0.5886682180135816,0.4708287356258254,0.0144426158121068,41.18525225365753,1,-0.10850503026733693,0.3402656009723298,-0.1962015920103258,1.0198139257320966,-0.3761500368027415
41,770,0.67394,0.9316,6.3658,0.3146200085873766,-0.1713787664154516,-0.0307705201373569,0.8038529898833462,-0.5022136614242075,0.4690386521436965,0.0137374471838925,24.047299533794103,1,-0.1554466824620092,0.970063143701394,-0.7015836199387054,0.8398612641181105,-0.1507400558201957
42,66,2.1508,0.1168,16.8691,0.5291095890410958,0.3326000278050816,-0.9325571572236192,1.2270919127337463,-0.2764543676875649,0.4681931400826302,0.0146875463531606,49.259045489892756,1,-0.08639053385215067,-0.267879770971408,-0.2954205503037008,0.7051963697127748,-0.2844586016105962
43,164,0.91884,0.0414,7.9599,1.3623188405797102,-0.0367601068584367,-1.3829996588791011,0.9009076117425696,0.1342787628624433,0.4655060760394445,0.012289253135517,27.76596892608552,1,-0.14526107347514372,-2.041698970746327,-1.198596289982645,0.7083444031761306,0.234426115235473
44,148,0.40471,0.7749,8.07,0.2639050200025809,-0.3928560644713847,-0.1107543391070203,0.9068735347220704,-0.5785523485496191,0.4630891264280287,0.0123980785013912,14.198281703595384,1,-0.18242360187598683,1.371714202642618,-1.2907300390241692,0.8001463483381074,0.3060897944333834
45,851,0.87647,0.1978,27.4967,0.1946410515672396,-0.0572629444389043,-0.7037737127388394,1.4392805753652638,-0.7107655577526599,0.4588667131580121,0.0067259619628217,68.85739513344502,1,-0.032709739675905514,1.1396902216529228,-0.1870198339605195,0.6183410158707928,-0.0160590907093116
46,558,1.9311,0.5416,6.498,0.5437592319054653,0.2858047638486317,-0.2663213443229121,0.812779707008964,-0.2645933565539675,0.4586451741271489,0.0066341265363766,10.276218426063906,1,-0.19316631620533564,0.8652283795242256,-0.910448117113546,0.9804896909170984,-0.1919247915960126
47,169,15.261,0.1651,5.0235,1.3113264688067838,1.183582992351017,-0.7822529267372064,0.7010064065955481,0.1177108274265906,0.4563012852454671,0.0065461677267582,56.70109481534507,1,-0.06600641348717384,-0.9347191288972456,-0.3132743789254578,0.6309361190641914,-0.206287473896725
48,141,0.12958,0.1449,4.9232,0.8812974465148379,-0.8874620243906921,-0.8389316145288254,0.6922474789033832,-0.0548774882077592,0.4549986190056683,0.0070384084937679,7.725583283545063,1,-0.20015262487899976,0.4816289195075781,-1.2549252084179423,0.8548584287881192,0.1229815702409841
49,895,3.1365,0.5388,8.3556,0.4974016332590943,0.496445291873353,-0.268572412949052,0.921977641223205,-0.3032927930221591,0.4540509203613454,0.0062607638220886,22.494120469478716,1,-0.15970091239395645,-0.2538719945356721,-0.5230235342404729,0.9782490122426428,-0.459525736248991
50,1076,4.1049,0.4349,6.0223,0.8631869395263279,0.6133025816802632,-0.361610592334664,0.7797623860321656,-0.0638951393800084,0.4530214062763735,0.0072622984019681,19.336624189120805,1,-0.16834944204165136,-0.3422177421884616,-1.087246696328677,0.7277689173006153,0.2249172335654321
51,348,0.60748,0.5968,4.9726,0.5080428954423593,-0.2164680157257305,-0.2241711855353876,0.6965835256348845,-0.2940996175045964,0.4511420391760177,0.0090874298626866,23.116826645337632,1,-0.15799529112142463,-1.3805310001358266,-1.0352690789463703,0.7358143967945251,0.0042187599277133
52,816,0.69506,0.3049,8.1646,0.4024270252541817,-0.1579777039794005,-0.5158425756346193,0.9119349126430384,-0.3953128616383764,0.4500449790405662,0.008140370975741,15.232442885144849,1,-0.17959098614346347,0.0850407067421937,-0.431211787684653,1.6389363001900108,-0.903207221297394
53,584,1.6522,0.4032,8.9174,0.453125,0.2180626178263746,-0.3944794765625311,0.9502382478459174,-0.3437819760849311,0.4453504824891723,0.0065282482147053,50.16121344151257,1,-0.08391945373550214,0.9193971554262502,-0.450261268735101,0.624983003206901,-0.0125495050212545
54,176,0.75374,0.4969,4.2607,0.6419802777218756,-0.1227784366741846,-0.3037310032544671,0.6294809561832443,-0.1924783136883517,0.4445730967719769,0.0068199578363941,27.603869577235734,1,-0.1457050711555592,1.266936911159173,-0.8326826652518239,0.7110053634855482,0.0116596125449933
55,119,1.6929,0.3995,41.8525,0.1361702127659574,0.2286313049897037,-0.3984832163499898,1.6217214050718511,-0.8659178839518303,0.4433944320102672,0.0065449987742588,23.992865802190877,1,-0.15559577899286936,0.7796542009757892,-0.8873949984654255,0.7007902213743469,0.0112466394325112
56,990,0.70753,0.2626,10.675,0.4154607768469154,-0.1502551408803715,-0.5807052782465395,1.0283678836970616,-0.3814699711651186,0.4429738541459961,0.0067961076256993,21.770848135363963,1,-0.16168198906659148,-0.7854475447657551,-0.9427143555817854,0.781834330107991,0.0759338123142796
