Source_ID,Mean_Prob,Std_Dev,Median_Prob,Q25_Prob,Q75_Prob,Min_Prob,Max_Prob,F_peak,Beta,log_F_peak,log_Beta,Very_High_Conf,High_Conf,Moderate_Conf,Low_Uncertainty
198,0.31925913117870997,0.18446440761480082,0.40311365088753026,0.2544204978476489,0.41554213952113145,1.3642480006474522e-12,0.5394922267279676,0.3273,0.2783,-0.4850539946919957,-0.5554867936659571,False,False,False,False
4,0.31883909978323344,0.2785100614162821,0.3237399377476471,0.05887550028734368,0.444493605350584,3.67379213903007e-37,0.8527213987138047,0.4448,0.3207,-0.351835221425999,-0.49390104007155955,False,False,False,False
702,0.3187419334736709,0.24143393017735384,0.4250710143691107,0.054599291916628316,0.508372036342117,5.915955262077922e-16,0.5765081368850768,0.3363,0.2588,-0.4732731326853644,-0.5870357280033373,False,False,False,False
366,0.31865149154321654,0.32559875418198203,0.36051810678733354,0.00018465107544641702,0.4501561628893368,1.9018313334763572e-35,0.9593357904907964,0.14536,0.0834,-0.8375550857000221,-1.0788339493622612,False,False,False,False
176,0.3186437298146021,0.2852041761333664,0.41562765360372794,0.007814252058766532,0.5299185550810694,8.544185606799676e-38,0.7356443594760619,0.75374,0.4969,-0.12277843667418462,-0.30373100325446717,False,False,False,False
1104,0.3179778064475303,0.1652232454477998,0.38604897018315226,0.32954321339307613,0.39722159269116925,2.3337617400034613e-22,0.5031206792338708,2.7037,0.3672,0.4319585010371133,-0.43509732747079516,False,False,False,False
468,0.3178940961397421,0.24962257172629684,0.42483544758632963,0.04759692165808409,0.4600452923549325,2.8386110442634998e-53,0.6532996284521955,1.316,0.4768,0.1192558892779367,-0.32166375326782,False,False,False,False
704,0.317841724004797,0.2989974095770256,0.3995444412896837,0.009176266095112594,0.4820183721724595,2.6896052826043006e-17,0.8779778171590052,1.9224,0.3834,0.2838437577958437,-0.4163478914579562,False,False,False,False
47,0.31768376520424896,0.16789542229031634,0.3797893610949757,0.36345877458580844,0.391900315144966,7.469517200594854e-14,0.4485277109276234,0.11622,0.4861,-0.9347191288972455,-0.31327437892545784,False,False,False,False
950,0.3173041467876499,0.24165895983987803,0.43414518771461885,0.05984732906035178,0.4638337276605583,5.4438518665292286e-55,0.6692056519364927,1.3206,0.6867,0.1207712929369916,-0.16323295260579468,False,False,False,False
648,0.31728499771594276,0.1688629795317179,0.3833654805379968,0.34668437309896555,0.39243830724509415,1.098013325416886e-12,0.49413741454541815,1.2581,0.3196,0.09971516235102365,-0.49539322935804625,False,False,False,False
625,0.316880705602152,0.17871074201561116,0.36164118726405337,0.3196608600371712,0.39387980913588144,1.0495470118764406e-13,0.5085844261035181,0.41424,0.2464,-0.3827479669092032,-0.6083592965076121,False,False,False,False
503,0.31681317089386096,0.2171857899100753,0.3848232349639864,0.13986999776652312,0.43906870978153734,4.751620536602971e-31,0.616968325480362,0.34709,0.0989,-0.4595578985941618,-1.0048037084028205,False,False,False,False
661,0.3163538622509549,0.24348827721174188,0.348002685625471,0.08247003888967476,0.4981698873190923,1.9945952970690564e-40,0.6220432673714821,0.91753,0.9206,-0.037379726943495666,-0.035929029442044576,False,False,False,False
724,0.3163250479924355,0.20514813815576813,0.37816071296163095,0.17310127689457855,0.4830751960613109,1.4328916530797133e-14,0.5338878188310467,0.85147,0.349,-0.06983064900963394,-0.45717457304082015,False,False,False,False
934,0.316107024261933,0.22143928611991304,0.4499776510813588,0.08762669825897147,0.4730897432596327,1.44739637891817e-53,0.49972918040978337,1.1171,0.2805,0.04809205181237225,-0.5520671344078197,False,False,False,False
846,0.315979820650212,0.3036061494377935,0.3531581670970113,0.030741280960734495,0.46657179583695396,1.8753123112202907e-16,0.9520285331804713,1.6648,0.5017,0.22136206720357055,-0.2995558989722485,False,False,False,False
747,0.3159167450604902,0.2323563152692144,0.44102076925908906,0.06347908635219342,0.4970840234367655,3.660040969128567e-27,0.5457049857613026,1.3405,0.1561,0.12726681831889838,-0.8065970969375825,False,False,False,False
38,0.315533728695972,0.22660559552824394,0.4004631916943012,0.08595408676423323,0.48850402138677873,7.996153176254771e-09,0.5395989721220749,0.23882,0.4794,-0.6219293059935578,-0.31930197030236496,False,False,False,False
