#4FGL LogParabola unIDs
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.0557    0.1387   4.0982e+00       4.5631    0.468       J0640.9-5204
 0.3848    0.1948   5.5790e-01       4.5972    2.713       J0642.4+1048
 0.1354    0.1475   2.4425e-01       6.2319    1.117       J0642.9-6501
 0.4969    0.3190   7.5374e-01       4.2607    2.543       J0648.6-3623
 0.2861    0.2178   2.1346e+01       7.7254    1.809       J0650.2-5144
 0.0431    0.1230   1.5468e-03       4.4246    0.377       J0651.9-4330
 1.0000       nan   1.0417e+00       9.5147    5.581       J0652.9+4707
 0.5274    0.3313   5.2069e+00       5.0266    2.434       J0656.5+4218
 0.3778    0.1581   1.8223e+00      11.3705    3.194       J0657.4-4658
-0.0441    0.0637   2.0199e+02       5.5988    0.580       J0658.7+2318
 0.2256    0.1966   2.3843e+00       5.1794    1.631       J0700.2-5118
 0.0526    0.1172   9.9888e-03       4.4104    0.501       J0700.4-4308
 0.4430    0.1777   1.2927e+00       9.7702    3.489       J0700.6+3558
 0.4455    0.2468   4.0431e+00       5.4460    2.498       J0700.8+1551
-0.0590    0.0695   1.1023e+01       4.4563    0.572       J0701.5-2842
 0.1373    0.1063   3.0807e+00       7.7015    1.658       J0704.3-4829
 0.4276    0.2218   7.8862e-01       5.4133    3.095       J0705.8-0004
 0.0527    0.1072   2.8787e+00       5.6878    0.501       J0708.6+1747
 0.3278    0.1101   3.6600e-01       9.6007    4.665       J0709.1-1034
 0.7893    0.3022   1.7257e+00       9.1310    4.520       J0712.0-6431
 0.4387    0.3818   4.8137e-01       5.5031    2.388       J0712.8-5637
-0.0001    0.0673          inf       4.7899    0.019       J0713.5-2555
 0.3227    0.2101   2.6201e-01       5.0675    2.698       J0715.7-1128
 0.2870    0.1405   9.8004e-01       8.0011    2.796       J0718.8-5004
-0.0064    0.0527   8.2671e+16       9.5781    0.133       J0722.4-2650
 0.3411    0.1421   2.3225e-01       6.1164    3.600       J0722.7-2309
-0.0391    0.0553   1.6681e+02       5.7762    0.654       J0723.1-3048
-0.0316    0.0770   1.6037e-02       4.2747    0.373       J0724.8+3016
 0.9984    0.0478   1.1639e+01       5.3881    2.652       J0725.6-5008
 0.1537    0.0862   1.0725e+01      11.8194    2.173       J0725.7-0549
 0.2602    0.1992   1.6799e+00       6.4967    1.678       J0731.0+6607
 0.4105    0.2013   2.3090e-01       5.4138    2.883       J0731.5-1910
-0.0270    0.0585   1.9876e+01       4.8791    0.424       J0734.3-4448
 0.2783    0.0992   3.2730e-01      13.1557    3.991       J0736.9-3231
-0.0797    0.0414   8.1316e+00       6.6025    1.483       J0737.4+6535
-0.0530    0.0539   1.4355e+02       5.7109    0.788       J0738.6+1311
-0.0680    0.0575   2.4326e+00       4.7210    0.908       J0741.0-5226
 0.3025    0.0554   8.5847e-01      28.6786    8.147       J0744.0-2525
 0.4024    0.3009   2.2122e-01       4.2362    2.078       J0744.4-1403
 0.5027    0.2451   1.7029e+00       9.5600    3.889       J0744.9-4028
 0.1249    0.1315   1.4324e+00       4.9027    1.145       J0746.5-4113
 0.0332    0.1049   3.9001e+00       6.1032    0.353       J0747.2-0736
 0.4783    0.3235   1.2309e+00       4.6544    2.682       J0749.8-4420
 0.4722    0.2011   7.2931e-01       8.1637    4.074       J0752.0-2931
