Source_ID,Mean_Prob,Std_Dev,Coeff_Var,Median_Prob,Q25_Prob,Q75_Prob,IQR,Min_Prob,Max_Prob,Range,Skewness,E_peak,Beta,Sigma_det,Beta_Rel,log_E_peak,log_Beta,log_Sigma_det,log_Beta_Rel,Very_High_Conf,High_Conf,Moderate_Conf,Low_Uncertainty,Consistent,Premium_Candidate,Stable_Candidate
969,0.2271309549365776,0.2439886030917819,1.0742199028649024,0.17704306787715457,0.009065913520692042,0.3916480809052884,0.3825821673845964,3.658557924589613e-07,0.5578973465239604,0.557896980668168,0.3546271524458925,2.6291,0.3123,18.2624,0.30771693884085816,0.41980710517149866,-0.5054280157698013,1.261557850868864,-0.5118485965616533,False,False,False,False,False,False,False
954,0.22683627336104747,0.20193793737039348,0.890236492937842,0.30629934832521827,0.020365767910871524,0.3962118011187143,0.37584603320784277,1.3660765669246915e-11,0.41130444943677263,0.4113044494231119,-0.2999022653391284,0.50692,0.3696,10.9474,0.24161255411255414,-0.29506057380265965,-0.43226803745193093,1.0393109867806696,-0.6168805036595226,False,False,False,False,False,False,False
610,0.22655041901982695,0.25797877353224624,1.1387256013965386,0.19658474970160694,0.02868870034057975,0.26451683284570393,0.2358281325051242,4.6976374046443904e-14,0.6429618122111972,0.6429618122111502,0.8605228930494316,0.64434,0.6113,6.0805,0.47407165058072964,-0.19088490723808116,-0.2137456042102198,0.7839392928110062,-0.3241560146546244,False,False,False,False,False,False,False
1088,0.22582874460319555,0.23869594440392602,1.0569776414139087,0.19471677465667817,0.017909517150877574,0.3472212197906667,0.32931170263978915,5.337545073885548e-24,0.5692962114177553,0.5692962114177553,0.44746775020007756,9.0674,0.6097,4.3354,0.6800065606035756,0.9574827746536111,-0.21488380497807996,0.6370291732721121,-0.16748689726407798,False,False,False,False,False,False,False
289,0.225757661057253,0.15041437608627028,0.6662647403379911,0.26199258455819313,0.1761831092191399,0.28540199105720654,0.10921888183806663,6.34374374476799e-24,0.4052106204517255,0.4052106204517255,-0.45906536267775333,1.0517,0.3997,7.0607,0.47835876907680763,0.021891873919109107,-0.3982658517398951,0.8488477592766199,-0.32024626032002357,False,False,False,False,False,False,False
627,0.22565825946244772,0.3102673825916023,1.374943552171637,0.00456835904900154,5.569904945343736e-20,0.4975413547613853,0.4975413547613853,2.2584724838662454e-62,0.6261815835018517,0.6261815835018517,0.473148299907889,1.5779,0.3636,13.6397,0.29647964796479653,0.19807947617103144,-0.4393761254500702,1.1348048182839952,-0.5280051136992099,False,False,False,False,False,False,False
491,0.225375133887242,0.15490554756740793,0.6873231222202086,0.2081418617518849,0.15282833313509517,0.24031479020249036,0.08748645706739519,0.053750905039062366,0.4718397793076773,0.4180888742686149,0.716818376461129,0.91516,0.7972,6.9346,0.35674862017059705,-0.038502970368047576,-0.09843270997155,0.8410214152574882,-0.44763769797072134,False,False,False,False,False,False,False
12,0.2246696393834809,0.23835038280363974,1.060892663774125,0.17788679833314658,0.006066065055661306,0.41175999344105213,0.4056939283853908,2.27683685800514e-10,0.5276353398598608,0.5276353396321771,0.25736042079736476,3.1638,0.199,7.0517,0.8195979899497486,0.5002090217151078,-0.7011469235902933,0.8482938278592816,-0.0863991153694309,False,False,False,False,False,False,False
1054,0.22382137928537663,0.32999673517338757,1.4743753321655748,0.05268620943250552,0.05216775487852193,0.2188373296603133,0.16666957478179137,1.030135502211265e-06,0.7954145723200401,0.7954135421845379,1.2870034958849186,2950.5,0.0917,4.7826,2.079607415485278,3.469895618975018,-1.0376306643299789,0.6796640595135837,0.3179813573759845,False,False,False,False,False,False,False
294,0.22380870485784304,0.21203282160598755,0.9473841165687619,0.28442817530095627,0.02370567477897113,0.30536378164457856,0.28165810686560744,1.6644909378454411e-06,0.5055442280737714,0.5055425635828336,0.11450498562439511,0.33215,0.2604,11.1981,0.35560675883256526,-0.4786657432224317,-0.5843590201038457,1.0491443414635082,-0.44902999321422005,False,False,False,False,False,False,False
