Source_ID,E_peak,Beta,log_E_peak,log_Beta,Prob_Run1,Std_Run1,Prob_Run2,Std_Run2,Prob_Run3,Std_Run3,Mean_Consensus,Std_Consensus,Min_Consensus,Max_Consensus,Range_Consensus,CV_Consensus
540,0.562,0.5617,-0.2502636844309389,-0.2504955761238577,0.2057070004119488,0.2580930276984884,0.2004179320355878,0.2462458400285655,0.19914083150959,0.2150354570038276,0.20175525465237554,0.0034813743478122215,0.19914083150959,0.2057070004119488,0.00656616890235881,0.017255432485544463
393,1.4804,0.5205,0.1703790764230741,-0.2835792661534451,0.2054402621672056,0.2363945650308853,0.2004155282902404,0.1787556782152409,0.1988761890295206,0.2082845150851203,0.20157732649565552,0.003432797014359986,0.1988761890295206,0.2054402621672056,0.006564073137685006,0.01702967741333347
360,0.61363,0.1704,-0.2120934161451804,-0.7685304095693187,0.2052922883516399,0.2214943018231898,0.1996957197117329,0.2538111690295823,0.1983105215415938,0.2179200174211179,0.20109950986832217,0.003696516880830945,0.1983105215415938,0.2052922883516399,0.006981766810046114,0.01838153011628961
998,2.0603,0.7645,0.3139304625334623,-0.1166225102516611,0.2049356167787404,0.2263810802289766,0.1994811341496063,0.2283406851788673,0.1971306435116432,0.2209557237510326,0.20051579814666332,0.0040040353538811245,0.1971306435116432,0.2049356167787404,0.007804973267097198,0.01996867673870607
328,0.093855,0.0721,-1.0275425859667977,-1.142064735280571,0.2049230576305596,0.222169565735699,0.1991626086990699,0.2366128299654331,0.1970787800502603,0.2091274976714192,0.20038814879329658,0.0040632049026740474,0.1970787800502603,0.2049230576305596,0.007844277580299291,0.020276671671330165
8,0.51802,0.4402,-0.2856534724517532,-0.3563499617826708,0.2045800733994325,0.2642124800703287,0.199105993492707,0.2161694009333102,0.1962640680119831,0.2475934327118638,0.19998337830137417,0.004226859292415802,0.1962640680119831,0.2045800733994325,0.008316005387449393,0.02113605199070806
235,0.027718,0.0831,-1.557238109568878,-1.080398976215889,0.2044705875970779,0.2298670707513019,0.1990027409694797,0.2243281789377824,0.1956083319591219,0.2359616634146449,0.19969388684189315,0.004471370674730107,0.1956083319591219,0.2044705875970779,0.008862255637956007,0.022391123341492493
417,1.8797,0.6469,0.2740885414227098,-0.1891628488595116,0.2043945644501114,0.2417192228073771,0.1985282694637104,0.2641577470718314,0.1954770853820404,0.2217143747390074,0.19946663976528742,0.0045321917820776705,0.1954770853820404,0.2043945644501114,0.008917479068071,0.02272155163487583
605,0.39582,0.9308,-0.4025022655359035,-0.0311436253853076,0.2041684421661255,0.2672439602203624,0.1978869927564532,0.3020206035743211,0.1950520203606804,0.2510617674327801,0.199035818427753,0.00466552643878233,0.1950520203606804,0.2041684421661255,0.009116421805445113,0.023440636169059607
597,0.51958,0.3947,-0.2843475744134964,-0.4037328736044847,0.2041668919992314,0.2580656747977831,0.1967861593705216,0.2148033287549846,0.1947658945566939,0.2011935715554114,0.19857298197548232,0.004948660373762587,0.1947658945566939,0.2041668919992314,0.009400997442537501,0.024921115024411758
