#4FGL LogParabola frsqs (fsrq+FSRQ)
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.2742    0.1915   8.4844e-01       5.5436    2.088       J1146.6-2902
 0.0594    0.0112   3.9486e-02      91.0036    6.017       J1146.9+3958
 0.2874    0.1255   4.5742e-01       6.1433    3.208       J1147.4-6758
 0.1473    0.0477   2.6585e-01      22.4498    3.842       J1147.8-0724
 0.0913    0.1187   3.2363e-03       5.9575    0.836       J1148.5+2629
 0.0850    0.0456   1.3414e-01      20.0271    2.155       J1152.3-0839
-0.1149    0.0413   3.1159e+01       6.3089    2.049       J1152.8+3308
-0.0765    0.0452   1.6845e+02       7.2548    1.368       J1153.0+8056
 0.0443    0.0214   1.0741e-02      43.4488    2.278       J1153.4+4931
 0.0185    0.0577   7.7422e-01      11.7591    0.315       J1154.0+4037
 0.1090    0.0653   1.3330e-02      13.3285    1.930       J1154.0+6018
-0.0165    0.0634   1.4928e+06       9.3386    0.245       J1158.5+4824
 0.0734    0.0312   2.7031e-02      26.0285    2.729       J1159.3-2142
 0.0675    0.0084   1.3987e-01     127.5803    8.996       J1159.5+2914
 0.0842    0.0446   4.4240e-02      17.2590    2.126       J1205.7-2635
