#4FGL LogParabola blazars (bll+BLL)
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.0305    0.0185   1.1426e+01      41.4571    1.726       J0622.3-2605
 0.0911    0.0810   8.2027e+00      13.0707    1.117       J0623.2+3044
 0.0078    0.0777   2.4425e-05       5.9093    0.123       J0623.9-5259
 0.0672    0.0393   1.1843e+00      19.8589    1.957       J0625.3+4439
 0.2368    0.1454   1.1797e+01       9.1743    2.038       J0626.4-4259
-0.0542    0.0503   3.9418e+01       5.4198    0.884       J0626.4-1712
 0.0685    0.0459   9.1949e-01      18.5230    1.665       J0628.8-6250
 0.0705    0.0223   3.6286e-01      36.7437    3.648       J0629.3-1959
 0.0869    0.0146   1.1478e+01      69.9781    7.026       J0630.9-2406
 0.0204    0.0575   1.3432e+05      12.7363    0.362       J0640.0-1253
 0.0339    0.0519   1.8200e+00      11.9529    0.711       J0644.6+6039
 0.0343    0.0209   7.5661e+02      34.0087    1.662       J0648.7+1516
 0.1334    0.0728   3.9264e+01      15.9970    2.220       J0649.5-3139
 0.0348    0.0120   2.5951e+02      60.9566    3.039       J0650.7+2503
 0.3219    0.1030   3.0645e+00      15.5853    4.415       J0653.7+2815
 0.0973    0.0833   2.8582e+00       8.8041    1.388       J0654.7+4246
 0.0678    0.0919   1.2193e+01       6.4680    0.842       J0656.3+4235
 0.1574    0.2208   2.9239e+00       4.3252    0.979       J0656.3-2404
 0.0939    0.0745   5.0415e+00      13.2061    1.457       J0700.2+1304
 0.0815    0.0128   1.2534e+00      80.4728    7.362       J0700.5-6610
 0.0656    0.0254   9.9564e-01      30.7468    2.848       J0702.7-1951
 0.0681    0.0452   1.5696e+00      14.7507    1.735       J0703.2-3914
 0.0646    0.0254   1.6538e+01      32.9522    2.788       J0706.5+3744
 0.1046    0.0273   2.1620e+00      38.6878    4.352       J0706.8+7742
-0.0135    0.0396   1.3739e+07      11.4666    0.318       J0706.9+6109
 0.0514    0.0305   1.5605e+00      24.9304    1.798       J0709.1+2241
 0.0460    0.0320   3.2741e+02      24.0650    1.480       J0710.4+5908
 0.1864    0.0768   1.5173e-01      12.2792    3.043       J0710.9+4733
-0.0908    0.0372   1.5507e+01       5.3868    1.823       J0712.4+5724
 0.0351    0.0232   1.6223e-01      31.6773    1.601       J0712.7+5033
-0.0371    0.0362   6.2331e+01       9.8896    0.925       J0715.6-4528
