Source_ID,E_peak,Beta,log_E_peak,log_Beta,Prob_Run1,Std_Run1,Prob_Run2,Std_Run2,Prob_Run3,Std_Run3,Mean_Consensus,Std_Consensus,Min_Consensus,Max_Consensus,Range_Consensus,CV_Consensus
461,0.46007,0.4022,-0.3371760850556484,-0.3955579337392768,0.3594338480103412,0.2737801024726183,0.3393933416281475,0.2717012559421393,0.3480297773928192,0.1431906696401538,0.34895232234376933,0.010052054063900523,0.3393933416281475,0.3594338480103412,0.02004050638219368,0.02880638165214432
181,2.3843,0.2256,0.3773608987811124,-0.6466609046886953,0.3590917107307384,0.2539507716314271,0.339372236651112,0.1798967535817695,0.3478805979463157,0.1885486199244351,0.3487815151093887,0.009890558795907554,0.339372236651112,0.3590917107307384,0.01971947407962643,0.02835746186041697
633,0.2668,0.1796,-0.5738141747554887,-0.7456936676687144,0.3590437358253724,0.2537858479089865,0.3392914166738353,0.1853297736780508,0.3478071657478954,0.2035698757857975,0.3487141060823677,0.009907342405699154,0.3392914166738353,0.3590437358253724,0.019752319151537134,0.028411073566517165
1088,9.0674,0.6097,0.9574827746536112,-0.2148838049780799,0.3584149883476405,0.257042945290574,0.3391077460308813,0.2404995087642906,0.3477976637550082,0.2239213328041907,0.34844013271117663,0.009669641991265486,0.3391077460308813,0.3584149883476405,0.019307242316759232,0.027751228420545934
1105,0.28678,0.3359,-0.5424511395889915,-0.4737899961583357,0.3584149392785788,0.1935146439174458,0.3389407403842693,0.245578729434243,0.3476343503491554,0.2533447113298805,0.3483300100040012,0.009755719471690264,0.3389407403842693,0.3584149392785788,0.019474198894309513,0.02800711656026145
73,0.00038,0.0641,-3.42021640338319,-1.1931419704811823,0.3582021068632366,0.2383870119587653,0.3388591309113539,0.3304539633316429,0.3474425340934564,0.1993019038673405,0.34816792395601565,0.009691868886252338,0.3388591309113539,0.3582021068632366,0.019342975951882724,0.027836764793729454
1001,0.88588,0.6109,-0.052625103019724,-0.2140298748679904,0.3581857993358411,0.3422823424105273,0.3384993846076571,0.1338637983522908,0.3473512884500652,0.2511858656987992,0.34801215746452113,0.009859832255328481,0.3384993846076571,0.3581857993358411,0.019686414728184,0.02833186071384606
30,6.9046,0.396,0.8391385239248444,-0.4023048140744876,0.3581293066272877,0.3151047439959837,0.3383185598829013,0.1689631197872386,0.346891445932684,0.241312786424609,0.34777977081429096,0.009935203191883669,0.3383185598829013,0.3581293066272877,0.019810746744386376,0.02856751237412768
1076,4.1049,0.4349,0.6133025816802632,-0.361610592334664,0.35809595991234,0.248279474143371,0.3382899517712452,0.2889678556010401,0.3467471651772745,0.1560792512468674,0.3477110256202866,0.009938121544662292,0.3382899517712452,0.35809595991234,0.01980600814109479,0.028581553435408046
623,3.371,0.2402,0.5277587525209719,-0.6194269969331128,0.3578918837192295,0.251630178671816,0.3380997462531744,0.2370253252668343,0.346535276010551,0.2588531033766145,0.34750896866098496,0.009931930044152397,0.3380997462531744,0.3578918837192295,0.01979213746605507,0.02858035519663959
