E_peak beta sigma_det beta_Rel number 
2.0726 0.4089 33.3305 0.17192467595989241 364 
0.13157 0.2086 5.3738 0.47075743048897406 365 
0.14536 0.0834 4.2372 1.4040767386091126 366 
0.75635 0.2128 4.4064 1.0578007518796992 367 
0.58222 0.6047 22.4817 0.16867868364478253 368 
0.84854 0.4641 16.0846 0.26416720534367594 369 
0.3032 0.1796 9.5448 0.5996659242761693 370 
13.855 0.2306 5.0215 0.9991326973113617 371 
0.45043 0.1369 11.7792 0.4945215485756026 372 
0.56526 0.0884 4.5913 1.1934389140271493 373 
1.8467 0.1139 12.7028 0.5759438103599649 374 
0.0020687 0.0654 4.2469 3.3394495412844036 375 
4.994 0.5407 5.5897 0.6852228592565194 376 
0.002709 0.0567 8.6997 1.1922398589065255 377 
0.5534 0.1547 12.1965 0.6089204912734325 378 
0.041064 0.0211 5.2336 5.890995260663507 379 
0.94452 0.1265 5.697 1.6964426877470355 380 
0.66505 0.3466 9.9224 0.3808424697057126 381 
1.838 0.4308 7.0792 0.43268337975858867 382 
1.664 0.6239 5.1294 0.5733290591440936 383 
2.7669 0.4583 37.2479 0.12437268164957452 384 
0.37657 0.1818 18.5917 0.3586358635863586 385 
2.5039 0.3654 7.362 0.5662287903667214 386 
2.5505 0.4436 4.5218 0.7391794409377819 387 
0.51711 0.3141 11.2192 0.3209169054441261 388 
0.71344 0.1756 8.1909 0.5916856492027335 389 
1.8072 0.4447 8.7022 0.5682482572520801 390 
